"id","true_mean_bl"
1,0.000471230661086276
2,0.00103171991928084
3,0.00110012325616163
4,0.00035972847795546
5,0.00128733583383516
6,0.00176871347441744
7,0.00229823693671455
8,0.00392751387998068
9,0.00098747699703296
10,0.00553902469723315
11,0.000363256393133529
12,7.37882289739582e-05
13,1.86182027256937e-05
14,1.24138426995618e-05
15,6.24691560542073e-05
16,0.000110078452707955
17,3.36142397800959e-05
18,0.0013825070790674
19,0.0001137776832056
20,0.00117259594120695
21,0.00648653685345614
22,0.00195132641922796
23,0.000562802414504839
24,0.00337588640956439
25,0.00545721627623517
26,0.00206672410687072
27,0.0019796286936121
28,0.0017564958613089
29,0.00156629383973566
30,0.000132056495038676
31,0.00561123137341133
32,2.8097975919335e-05
33,0.005196000572815
34,0.000123942674939363
35,0.00317483841032653
36,1.09530061148497e-05
37,4.24687558195559e-05
38,0.00288164129103207
39,0.000609382658053213
40,2.27834402201272e-05
41,0.000998898146011223
42,0.000197519973344279
43,7.13875267933583e-05
44,0.00161275726459256
45,0.000148927019505104
46,0.00352732116929713
47,0.00113152726620132
48,2.69694107248979e-05
49,0.00920609642159057
50,0.0041121768610539
51,0.00012549479224862
52,1.71693518406298e-05
53,0.00023240890641939
54,0.000614625495986558
55,1.67942817131537e-05
56,0.00811837424582186
57,7.1287236873461e-05
58,0.00464580381723432
59,0.00205928044703301
60,0.00764935992382653
61,0.0001087147878095
62,5.90461033231216e-05
63,0.0059453817502194
64,2.39979950313458e-05
65,1.39661463146728e-05
66,1.09389229450275e-05
67,0.00896780539324232
68,1.40784069759318e-05
69,0.00146242480328375
70,1.91441214251016e-05
71,0.000780491509101709
72,9.48411781060352e-05
73,0.000497358184564966
74,0.00426401699778627
75,0.00747917511657647
76,0.00765305952908067
77,1.14007732793219e-05
78,0.000363617622813161
79,2.49934936888677e-05
80,1.9211255860597e-05
81,7.90362044558405e-05
82,8.40896240618362e-05
83,2.5638116901573e-05
84,0.00163155508214778
85,0.000197629594009368
86,0.00198818391299152
87,0.00119421177228298
88,0.00639457260472835
89,0.00110333695541654
90,0.00299666815113565
91,6.69499297384963e-05
92,1.33164706710913e-05
93,6.77586969150423e-05
94,3.33094865155318e-05
95,0.000399507646451234
96,0.00366313985138533
97,0.000634222150229431
98,6.58653979310602e-05
99,0.000321717345182161
100,4.13157339623149e-05
101,0.000222978272908295
102,1.68187897906456e-05
103,0.0070886592860861
104,0.00104936152966428
105,1.33583791521622e-05
106,7.84149766662604e-05
107,0.00064110879022454
108,0.000102993571964069
109,0.00499553988294756
110,0.000201782169087533
111,0.00677540038317542
112,5.44726546613875e-05
113,1.9887481760796e-05
114,4.8088843175762e-05
115,0.000957676208578577
116,2.41620022333994e-05
117,5.20580153052859e-05
118,0.00524587528303017
119,0.00546120542523246
120,0.000106173845680872
121,0.0026856753054368
122,0.000626681843582287
123,0.00115185426643207
124,8.06757357150741e-05
125,0.00469307687066147
126,8.35467795226003e-05
127,0.00531371616192442
128,0.00146284885867413
129,0.000855446728638887
130,0.00159443450149728
131,0.00116220476995754
132,1.42088030150683e-05
133,0.001508878146233
134,0.000572771865790044
135,0.000112554513514501
136,5.55070378838689e-05
137,0.0023882882207145
138,5.13558503971205e-05
139,0.00734917954152553
140,0.0066655740654016
141,0.000222311610723588
142,0.00530049746868925
143,0.00640077455699465
144,2.41142549603437e-05
145,0.000322266017642577
146,7.42630897259173e-05
147,1.79955590093394e-05
148,0.00555151962846025
149,0.0021785424094362
150,0.000335803911396847
